tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Date
308,12:02.3,17:10.4,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42108,Customer,1970,0,Apr-21
349,13:51.3,19:41.1,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,41206,Customer,1970,0,Apr-21
225,14:27.1,18:12.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42280,Customer,1970,0,Apr-21
290,15:42.1,20:32.7,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,41620,Subscriber,1986,1,Apr-21
1299,15:56.2,37:35.8,3194,McGinley Square,40.72533993,-74.06762213,3199,Newport Pkwy,40.7287448,-74.0321082,47256,Customer,1970,0,Apr-21
284,18:53.9,23:38.8,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,42240,Subscriber,1980,1,Apr-21
157,22:05.2,24:42.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,44283,Customer,1970,0,Apr-21
467,22:17.4,30:05.1,3483,Montgomery St,40.71942,-74.05099,3269,Brunswick & 6th,40.72601173,-74.05038893,42159,Customer,1970,0,Apr-21
238,23:26.5,27:25.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3268,Lafayette Park,40.71346383,-74.06285852,42396,Customer,1970,0,Apr-21
223,23:42.1,27:25.5,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,27708,Customer,1970,0,Apr-21
207,24:20.5,27:47.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3203,Hamilton Park,40.72759597,-74.04424731,40306,Customer,1970,0,Apr-21
241,26:44.9,30:46.1,3267,Morris Canal,40.71241882,-74.03852552,3681,Grand St,40.71517768,-74.03768331,42280,Customer,1970,0,Apr-21
200,30:54.6,34:14.6,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,33334,Subscriber,1953,2,Apr-21
1480,31:24.0,56:04.6,3278,Monmouth and 6th,40.72568548,-74.04879034,3278,Monmouth and 6th,40.72568548,-74.04879034,44209,Subscriber,1983,1,Apr-21
203,33:10.6,36:34.4,3203,Hamilton Park,40.72759597,-74.04424731,3269,Brunswick & 6th,40.72601173,-74.05038893,42307,Customer,1970,0,Apr-21
